week_date,region,platform,segment,customer_type,transactions,sales,Date,Day,week_number,month_number,calendar_year,age_band,demographic,avg_transaction,month_name
8/31/2020,ASIA,Retail,C3,New,120631,3656163,2020-08-31,31,5,8,2020,Retirees,Couples,30.31,Aug
8/31/2020,ASIA,Retail,F1,New,31574,996575,2020-08-31,31,5,8,2020,Young Adults,Families,31.56,Aug
8/31/2020,USA,Retail,unknown,Guest,529151,16509610,2020-08-31,31,5,8,2020,unknown,unknown,31.2,Aug
8/31/2020,EUROPE,Retail,C1,New,4517,141942,2020-08-31,31,5,8,2020,Young Adults,Couples,31.42,Aug
8/31/2020,AFRICA,Retail,C2,New,58046,1758388,2020-08-31,31,5,8,2020,Middle Aged,Couples,30.29,Aug
8/31/2020,CANADA,Shopify,F2,Existing,1336,243878,2020-08-31,31,5,8,2020,Middle Aged,Families,182.54,Aug
8/31/2020,AFRICA,Shopify,F3,Existing,2514,519502,2020-08-31,31,5,8,2020,Retirees,Families,206.64,Aug
8/31/2020,ASIA,Shopify,F1,Existing,2158,371417,2020-08-31,31,5,8,2020,Young Adults,Families,172.11,Aug
8/31/2020,AFRICA,Shopify,F2,New,318,49557,2020-08-31,31,5,8,2020,Middle Aged,Families,155.84,Aug
8/31/2020,AFRICA,Retail,C3,New,111032,3888162,2020-08-31,31,5,8,2020,Retirees,Couples,35.02,Aug
8/31/2020,USA,Shopify,F1,Existing,1398,260773,2020-08-31,31,5,8,2020,Young Adults,Families,186.53,Aug
8/31/2020,OCEANIA,Shopify,C2,Existing,4661,882690,2020-08-31,31,5,8,2020,Middle Aged,Couples,189.38,Aug
8/31/2020,SOUTH AMERICA,Retail,C2,Existing,1029,38762,2020-08-31,31,5,8,2020,Middle Aged,Couples,37.67,Aug
8/31/2020,SOUTH AMERICA,Shopify,C4,New,6,917,2020-08-31,31,5,8,2020,Retirees,Couples,152.83,Aug
8/31/2020,EUROPE,Shopify,F3,Existing,115,35215,2020-08-31,31,5,8,2020,Retirees,Families,306.22,Aug
8/31/2020,OCEANIA,Retail,F3,Existing,551905,30371770,2020-08-31,31,5,8,2020,Retirees,Families,55.03,Aug
8/31/2020,ASIA,Shopify,C3,Existing,1969,374327,2020-08-31,31,5,8,2020,Retirees,Couples,190.11,Aug
8/31/2020,AFRICA,Retail,F1,Existing,97604,5185233,2020-08-31,31,5,8,2020,Young Adults,Families,53.13,Aug
8/31/2020,OCEANIA,Retail,C2,New,111219,2980673,2020-08-31,31,5,8,2020,Middle Aged,Couples,26.8,Aug
8/31/2020,USA,Retail,F1,New,11820,463738,2020-08-31,31,5,8,2020,Young Adults,Families,39.23,Aug
8/31/2020,SOUTH AMERICA,Retail,F3,Existing,1363,65730,2020-08-31,31,5,8,2020,Retirees,Families,48.22,Aug
8/31/2020,AFRICA,Retail,C3,Existing,284971,14430196,2020-08-31,31,5,8,2020,Retirees,Couples,50.64,Aug
8/31/2020,ASIA,Retail,F2,New,70496,2176980,2020-08-31,31,5,8,2020,Middle Aged,Families,30.88,Aug
8/31/2020,AFRICA,Shopify,F1,Existing,2678,478756,2020-08-31,31,5,8,2020,Young Adults,Families,178.77,Aug
8/31/2020,USA,Shopify,C4,New,22,3319,2020-08-31,31,5,8,2020,Retirees,Couples,150.86,Aug
8/31/2020,CANADA,Retail,F3,Existing,94274,5306746,2020-08-31,31,5,8,2020,Retirees,Families,56.29,Aug
8/31/2020,ASIA,Retail,F1,Existing,94287,4511841,2020-08-31,31,5,8,2020,Young Adults,Families,47.85,Aug
8/31/2020,EUROPE,Retail,unknown,New,3064,134249,2020-08-31,31,5,8,2020,unknown,unknown,43.81,Aug
8/31/2020,EUROPE,Shopify,F1,New,7,1579,2020-08-31,31,5,8,2020,Young Adults,Families,225.57,Aug
8/31/2020,SOUTH AMERICA,Retail,C4,New,329,11451,2020-08-31,31,5,8,2020,Retirees,Couples,34.81,Aug
8/31/2020,SOUTH AMERICA,Retail,F1,Existing,854,31589,2020-08-31,31,5,8,2020,Young Adults,Families,36.99,Aug
8/31/2020,EUROPE,Shopify,C2,Existing,180,53567,2020-08-31,31,5,8,2020,Middle Aged,Couples,297.59,Aug
8/31/2020,EUROPE,Shopify,F2,New,15,4023,2020-08-31,31,5,8,2020,Middle Aged,Families,268.2,Aug
8/31/2020,AFRICA,Retail,C2,Existing,112361,4768214,2020-08-31,31,5,8,2020,Middle Aged,Couples,42.44,Aug
8/31/2020,ASIA,Shopify,C2,Existing,2269,396909,2020-08-31,31,5,8,2020,Middle Aged,Couples,174.93,Aug
8/31/2020,AFRICA,Shopify,C4,New,58,8562,2020-08-31,31,5,8,2020,Retirees,Couples,147.62,Aug
8/31/2020,USA,Retail,F3,Existing,142898,8723663,2020-08-31,31,5,8,2020,Retirees,Families,61.05,Aug
8/31/2020,OCEANIA,Shopify,C3,Existing,4703,957939,2020-08-31,31,5,8,2020,Retirees,Couples,203.69,Aug
8/31/2020,SOUTH AMERICA,Shopify,unknown,New,40,7625,2020-08-31,31,5,8,2020,unknown,unknown,190.62,Aug
8/31/2020,USA,Shopify,C1,New,164,20635,2020-08-31,31,5,8,2020,Young Adults,Couples,125.82,Aug
8/31/2020,SOUTH AMERICA,Shopify,C1,New,20,2265,2020-08-31,31,5,8,2020,Young Adults,Couples,113.25,Aug
8/31/2020,EUROPE,Retail,C1,Existing,14583,633917,2020-08-31,31,5,8,2020,Young Adults,Couples,43.47,Aug
8/31/2020,OCEANIA,Shopify,F2,New,452,72293,2020-08-31,31,5,8,2020,Middle Aged,Families,159.94,Aug
8/31/2020,SOUTH AMERICA,Retail,F2,New,382,13839,2020-08-31,31,5,8,2020,Middle Aged,Families,36.23,Aug
8/31/2020,SOUTH AMERICA,Retail,C3,Existing,1503,68009,2020-08-31,31,5,8,2020,Retirees,Couples,45.25,Aug
8/31/2020,CANADA,Retail,F1,New,7033,269176,2020-08-31,31,5,8,2020,Young Adults,Families,38.27,Aug
8/31/2020,SOUTH AMERICA,Retail,unknown,Existing,329,10874,2020-08-31,31,5,8,2020,unknown,unknown,33.05,Aug
8/31/2020,CANADA,Retail,F1,Existing,24153,1306932,2020-08-31,31,5,8,2020,Young Adults,Families,54.11,Aug
8/31/2020,EUROPE,Shopify,unknown,Existing,15,3507,2020-08-31,31,5,8,2020,unknown,unknown,233.8,Aug
8/31/2020,EUROPE,Retail,F3,Existing,18676,1144376,2020-08-31,31,5,8,2020,Retirees,Families,61.28,Aug
8/31/2020,SOUTH AMERICA,Shopify,C3,New,19,3325,2020-08-31,31,5,8,2020,Retirees,Couples,175.0,Aug
8/31/2020,CANADA,Shopify,unknown,Existing,87,15074,2020-08-31,31,5,8,2020,unknown,unknown,173.26,Aug
8/31/2020,CANADA,Retail,C4,Existing,29577,1473178,2020-08-31,31,5,8,2020,Retirees,Couples,49.81,Aug
8/31/2020,OCEANIA,Retail,F1,New,41631,1369115,2020-08-31,31,5,8,2020,Young Adults,Families,32.89,Aug
8/31/2020,ASIA,Retail,F3,Existing,402652,20255591,2020-08-31,31,5,8,2020,Retirees,Families,50.31,Aug
8/31/2020,ASIA,Retail,unknown,Guest,1936351,48773122,2020-08-31,31,5,8,2020,unknown,unknown,25.19,Aug
8/31/2020,ASIA,Shopify,C2,New,413,55780,2020-08-31,31,5,8,2020,Middle Aged,Couples,135.06,Aug
8/31/2020,EUROPE,Shopify,F3,New,4,554,2020-08-31,31,5,8,2020,Retirees,Families,138.5,Aug
8/31/2020,USA,Retail,C2,Existing,43493,2126153,2020-08-31,31,5,8,2020,Middle Aged,Couples,48.88,Aug
8/31/2020,OCEANIA,Retail,C2,Existing,169157,6603287,2020-08-31,31,5,8,2020,Middle Aged,Couples,39.04,Aug
8/31/2020,AFRICA,Shopify,unknown,Guest,5893,1026838,2020-08-31,31,5,8,2020,unknown,unknown,174.25,Aug
8/31/2020,ASIA,Retail,C3,Existing,245151,11086427,2020-08-31,31,5,8,2020,Retirees,Couples,45.22,Aug
8/31/2020,CANADA,Shopify,C4,Existing,119,19049,2020-08-31,31,5,8,2020,Retirees,Couples,160.08,Aug
8/31/2020,ASIA,Shopify,F2,Existing,2983,564306,2020-08-31,31,5,8,2020,Middle Aged,Families,189.17,Aug
8/31/2020,SOUTH AMERICA,Shopify,F3,Existing,32,7331,2020-08-31,31,5,8,2020,Retirees,Families,229.09,Aug
8/31/2020,USA,Retail,F1,Existing,40076,2272687,2020-08-31,31,5,8,2020,Young Adults,Families,56.71,Aug
8/31/2020,SOUTH AMERICA,Shopify,C4,Existing,7,1562,2020-08-31,31,5,8,2020,Retirees,Couples,223.14,Aug
8/31/2020,CANADA,Shopify,unknown,New,88,12836,2020-08-31,31,5,8,2020,unknown,unknown,145.86,Aug
8/31/2020,AFRICA,Retail,C4,New,46545,1548637,2020-08-31,31,5,8,2020,Retirees,Couples,33.27,Aug
8/31/2020,USA,Shopify,C2,New,228,45518,2020-08-31,31,5,8,2020,Middle Aged,Couples,199.64,Aug
8/31/2020,SOUTH AMERICA,Retail,C3,New,1045,37786,2020-08-31,31,5,8,2020,Retirees,Couples,36.16,Aug
8/31/2020,ASIA,Shopify,C4,Existing,279,48624,2020-08-31,31,5,8,2020,Retirees,Couples,174.28,Aug
8/31/2020,ASIA,Retail,unknown,New,66042,2156778,2020-08-31,31,5,8,2020,unknown,unknown,32.66,Aug
