week_date,region,platform,segment,customer_type,transactions,sales
8/31/2020,ASIA,Retail,C3,New,120631,3656163
8/31/2020,ASIA,Retail,F1,New,31574,996575
8/31/2020,USA,Retail,null,Guest,529151,16509610
8/31/2020,EUROPE,Retail,C1,New,4517,141942
8/31/2020,AFRICA,Retail,C2,New,58046,1758388
8/31/2020,CANADA,Shopify,F2,Existing,1336,243878
8/31/2020,AFRICA,Shopify,F3,Existing,2514,519502
8/31/2020,ASIA,Shopify,F1,Existing,2158,371417
8/31/2020,AFRICA,Shopify,F2,New,318,49557
8/31/2020,AFRICA,Retail,C3,New,111032,3888162
8/31/2020,USA,Shopify,F1,Existing,1398,260773
8/31/2020,OCEANIA,Shopify,C2,Existing,4661,882690
8/31/2020,SOUTH AMERICA,Retail,C2,Existing,1029,38762
8/31/2020,SOUTH AMERICA,Shopify,C4,New,6,917
8/31/2020,EUROPE,Shopify,F3,Existing,115,35215
8/31/2020,OCEANIA,Retail,F3,Existing,551905,30371770
8/31/2020,ASIA,Shopify,C3,Existing,1969,374327
8/31/2020,AFRICA,Retail,F1,Existing,97604,5185233
8/31/2020,OCEANIA,Retail,C2,New,111219,2980673
8/31/2020,USA,Retail,F1,New,11820,463738
8/31/2020,SOUTH AMERICA,Retail,F3,Existing,1363,65730
8/31/2020,AFRICA,Retail,C3,Existing,284971,14430196
8/31/2020,ASIA,Retail,F2,New,70496,2176980
8/31/2020,AFRICA,Shopify,F1,Existing,2678,478756
8/31/2020,USA,Shopify,C4,New,22,3319
8/31/2020,CANADA,Retail,F3,Existing,94274,5306746
8/31/2020,ASIA,Retail,F1,Existing,94287,4511841
8/31/2020,EUROPE,Retail,null,New,3064,134249
8/31/2020,EUROPE,Shopify,F1,New,7,1579
8/31/2020,SOUTH AMERICA,Retail,C4,New,329,11451
8/31/2020,SOUTH AMERICA,Retail,F1,Existing,854,31589
8/31/2020,EUROPE,Shopify,C2,Existing,180,53567
8/31/2020,EUROPE,Shopify,F2,New,15,4023
8/31/2020,AFRICA,Retail,C2,Existing,112361,4768214
8/31/2020,ASIA,Shopify,C2,Existing,2269,396909
8/31/2020,AFRICA,Shopify,C4,New,58,8562
8/31/2020,USA,Retail,F3,Existing,142898,8723663
8/31/2020,OCEANIA,Shopify,C3,Existing,4703,957939
8/31/2020,SOUTH AMERICA,Shopify,null,New,40,7625
8/31/2020,USA,Shopify,C1,New,164,20635
8/31/2020,SOUTH AMERICA,Shopify,C1,New,20,2265
8/31/2020,EUROPE,Retail,C1,Existing,14583,633917
8/31/2020,OCEANIA,Shopify,F2,New,452,72293
8/31/2020,SOUTH AMERICA,Retail,F2,New,382,13839
8/31/2020,SOUTH AMERICA,Retail,C3,Existing,1503,68009
8/31/2020,CANADA,Retail,F1,New,7033,269176
8/31/2020,SOUTH AMERICA,Retail,null,Existing,329,10874
8/31/2020,CANADA,Retail,F1,Existing,24153,1306932
8/31/2020,EUROPE,Shopify,null,Existing,15,3507
8/31/2020,EUROPE,Retail,F3,Existing,18676,1144376
8/31/2020,SOUTH AMERICA,Shopify,C3,New,19,3325
8/31/2020,CANADA,Shopify,null,Existing,87,15074
8/31/2020,CANADA,Retail,C4,Existing,29577,1473178
8/31/2020,OCEANIA,Retail,F1,New,41631,1369115
8/31/2020,ASIA,Retail,F3,Existing,402652,20255591
8/31/2020,ASIA,Retail,null,Guest,1936351,48773122
8/31/2020,ASIA,Shopify,C2,New,413,55780
8/31/2020,EUROPE,Shopify,F3,New,4,554
8/31/2020,USA,Retail,C2,Existing,43493,2126153
8/31/2020,OCEANIA,Retail,C2,Existing,169157,6603287
8/31/2020,AFRICA,Shopify,null,Guest,5893,1026838
8/31/2020,ASIA,Retail,C3,Existing,245151,11086427
8/31/2020,CANADA,Shopify,C4,Existing,119,19049
8/31/2020,ASIA,Shopify,F2,Existing,2983,564306
8/31/2020,SOUTH AMERICA,Shopify,F3,Existing,32,7331
8/31/2020,USA,Retail,F1,Existing,40076,2272687
8/31/2020,SOUTH AMERICA,Shopify,C4,Existing,7,1562
8/31/2020,CANADA,Shopify,null,New,88,12836
8/31/2020,AFRICA,Retail,C4,New,46545,1548637
8/31/2020,USA,Shopify,C2,New,228,45518
8/31/2020,SOUTH AMERICA,Retail,C3,New,1045,37786
8/31/2020,ASIA,Shopify,C4,Existing,279,48624
8/31/2020,ASIA,Retail,null,New,66042,2156778
8/31/2020,AFRICA,Retail,C4,Existing,117018,5941067
8/31/2020,EUROPE,Retail,F1,Existing,6769,395877
8/31/2020,AFRICA,Retail,F3,Existing,403810,22712143
8/31/2020,SOUTH AMERICA,Shopify,F1,Existing,74,16149
8/31/2020,CANADA,Retail,F2,Existing,61517,3322211
8/31/2020,EUROPE,Retail,F3,New,1655,66422
8/31/2020,AFRICA,Shopify,F1,New,201,27184
8/31/2020,ASIA,Shopify,null,Guest,5794,979807
8/31/2020,AFRICA,Retail,F1,New,23416,833470
8/31/2020,OCEANIA,Retail,F1,Existing,144056,7178808
8/31/2020,OCEANIA,Retail,C4,Existing,151673,7422165
8/31/2020,CANADA,Shopify,C1,Existing,585,91616
8/31/2020,CANADA,Retail,F2,New,18180,661362
8/31/2020,CANADA,Retail,C1,New,30402,786613
8/31/2020,SOUTH AMERICA,Shopify,C1,Existing,69,11755
8/31/2020,USA,Retail,C2,New,26620,883573
8/31/2020,AFRICA,Retail,null,New,58165,2232935
8/31/2020,CANADA,Shopify,C1,New,97,12438
8/31/2020,SOUTH AMERICA,Shopify,F2,Existing,37,8473
8/31/2020,EUROPE,Retail,C2,New,2857,104677
8/31/2020,OCEANIA,Retail,C4,New,65594,2016930
8/31/2020,EUROPE,Retail,C2,Existing,9710,461694
8/31/2020,EUROPE,Shopify,C4,New,3,1221
8/31/2020,OCEANIA,Shopify,C3,New,567,95547
8/31/2020,USA,Retail,C1,New,36069,990085
8/31/2020,ASIA,Retail,F2,Existing,220712,10624187
8/31/2020,OCEANIA,Shopify,null,Guest,11218,2078649
8/31/2020,USA,Shopify,C3,New,205,33536
8/31/2020,AFRICA,Shopify,C1,New,299,35957
8/31/2020,EUROPE,Retail,F1,New,953,40760
8/31/2020,SOUTH AMERICA,Shopify,C2,New,45,8917
8/31/2020,CANADA,Shopify,C3,Existing,846,154393
8/31/2020,USA,Retail,C1,Existing,57648,2393490
8/31/2020,EUROPE,Shopify,C1,New,21,3288
8/31/2020,SOUTH AMERICA,Shopify,F2,New,9,1437
8/31/2020,OCEANIA,Shopify,F3,New,190,30264
8/31/2020,AFRICA,Shopify,C3,Existing,2647,530397
8/31/2020,CANADA,Shopify,C4,New,21,2494
8/31/2020,OCEANIA,Retail,F2,New,91435,3101538
